Project Name;Capacity (MW);Type;Start year;Latitude;Longitude
Fresnoy-Au-Val wind farm;10;Wind;2013;49,8517;2,0239
Freyssenet wind farm;10;Wind;2006;44,6783;4,5568
Gomiécourt wind farm;10;Wind;2010;50,1521;2,8118
Guégon wind farm;10;Wind;2014;47,9431;-2,6429
Hauts De Melleray wind farm;10;Wind;2006;48,2101;1,8936
Hauts-Traits wind farm;10;Wind;2007;49,9146;1,2964
Joyeuses wind farm;10;Wind;2009;46,9768;2,0817
Kerherhal wind farm;10;Wind;2004;48,5215;-4,5646
L’Ourcq Et Du Clignon wind farm;10;Wind;2016;49,115;3,1683
La Bouleste wind farm;10;Wind;2010;44,2976;2,6869
La Grand Linault wind farm;10;Wind;2011;46,6632;-0,4886
La Haie Du Vent-Stenay wind farm;10;Wind;2008;49,5005;5,1981
La Nourais wind farm;10;Wind;2007;47,7755;-1,75
Laneuville-Au-Rupt wind farm;10;Wind;2008;48,7142;5,5813
Lanques Sur Rognon wind farm;10;Wind;2014;48,0879;5,3698
Lauzach wind farm;10;Wind;2008;47,6014;-2,5435
Le Bois Cheneau wind farm;10;Wind;2009;48,2505;1,9177
Le Champ Vert wind farm;10;Wind;2007;49,6997;3,099
Le Florembeau wind farm;10;Wind;2007;50,5148;2,0429
Le Fouy wind farm;10;Wind;2009;47,1907;-0,7856
Le Gollot wind farm;10;Wind;2007;48,4656;-3,2781
Le Grand Camp wind farm;10;Wind;2010;48,264;1,9357
Le Pelon wind farm;10;Wind;2019;46,1481;0,0891
Lehaucourt wind farm;10;Wind;2007;49,9167;3,2833
Les Champs Blancs wind farm;10;Wind;2007;46,3917;-0,6147
Les Coudrays wind farm;10;Wind;2011;47,0768;2,2356
Les Crêtes wind farm;10;Wind;2008;47,1437;-0,6501
Les Landes Du Tertre wind farm;10;Wind;2011;48,1859;-2,6476
Les Mistandines wind farm;10;Wind;2011;47,0869;2,232
Les Moulins De Boulay wind farm;10;Wind;2007;49,1846;6,5229
Les Trente wind farm;10;Wind;2016;49,6596;2,7781
Les Vents De Cernon wind farm;10;Wind;2008;48,8442;4,3561
Lévigny wind farm;10;Wind;2009;48,2931;4,7007
Longchamps-Nohant-En-Graçay wind farm;10;Wind;2011;47,1222;1,9366
Longue Epine wind farm;10;Wind;2006;49,9941;1,7451
Mauron wind farm;10;Wind;2010;48,0829;-2,2863
Menil La Horgne wind farm;10;Wind;2007;48,7006;5,5071
Merry-Sec wind farm;10;Wind;2014;47,6588;3,4857
Mézières Sissy wind farm;10;Wind;2017;49,8125;3,3843
Migé wind farm;10;Wind;2013;47,684;3,5204
Migré wind farm;10;Wind;2015;46,0883;-0,554
Molinons wind farm;10;Wind;2014;48,2079;3,5447
Montafilant wind farm;10;Wind;2012;47,7384;-1,5708
Morlange wind farm;10;Wind;2016;49,1178;6,4911
Moulin À Vent wind farm;10;Wind;2011;48,4061;3,5664
Muzillac wind farm;10;Wind;2008;47,5203;-2,4523
Neuilly wind farm;10;Wind;2016;49,1487;3,2614
Neuvy-Bouin wind farm;10;Wind;2011;46,6658;-0,4546
Nouillers wind farm;10;Wind;2014;45,9237;-0,6337
Noyers Bucamps wind farm;10;Wind;2018;49,5475;2,29
Oasis wind farm;10;Wind;2018;48,3481;-0,4324
Ondefontaine wind farm;10;Wind;2016;48,9962;-0,6814
Opoul Périllos wind farm;10;Wind;2003;42,88;2,92
Oyre Saint-Sauveur wind farm;10;Wind;2014;46,8356;0,6279
Pamproux wind farm;10;Wind;2012;46,4107;0,0343
Pannecé Beausejour wind farm;10;Wind;2009;47,5024;-1,2325
Paradis wind farm;10;Wind;2012;50,1465;2,8047
Parc Du Lauragais wind farm;10;Wind;2008;43,464;1,9194
Parc Du Rio wind farm;10;Wind;2019;50,0736;2,8572
Pays D'Othe wind farm;10;Wind;2014;48,1531;3,5758
Petit Caux wind farm;10;Wind;2007;49,9518;1,2545
Petit Fougeray wind farm;10;Wind;2017;47,9333;-1,63
Piroy wind farm;10;Wind;2020;48,5145;5,2037
Pithiviers Le Vieil wind farm;10;Wind;2008;48,1927;2,2201
Plaine Dynamique wind farm;10;Wind;2013;48,6199;3,8725
Pleugriffet wind farm;10;Wind;2010;48,0069;-2,7367
Plouguin wind farm;10;Wind;2004;48,5352;-4,6223
Plouvien wind farm;10;Wind;2007;48,5531;-4,4491
Rézentières-Vieillespesse wind farm;10;Wind;2010;45,1204;3,1084
Ribemont wind farm;10;Wind;2009;49,7784;3,4683
Roman wind farm;10;Wind;2011;48,8416;1,0679
Roussas (RES) wind farm;10;Wind;2005;44,4527;4,8008
Sablons wind farm;10;Wind;2007;48,947;-0,204
Saint Alban wind farm;10;Wind;2009;48,53;-2,5
Saint Martin L'Ars wind farm;10;Wind;2018;46,2321;0,5204
Saint-Amand-Sur-Fion wind farm;10;Wind;2014;48,7955;4,5824
Saint-Cyr-En-Pail wind farm;10;Wind;2009;48,4281;-0,2342
Saint-Germier wind farm;10;Wind;2017;46,4571;-0,0277
Saint-Julien-Du-Terroux wind farm;10;Wind;2017;48,4973;-0,4077
Saint-Michel-Chef-Chef wind farm;10;Wind;2010;47,184;-2,1119
Saint-Ouen-Domprot wind farm;10;Wind;2013;48,614;4,3926
Saint-Pierre-De-Jullers wind farm;10;Wind;2017;45,963;-0,3671
Sefeosc wind farm;10;Wind;2009;48,8121;5,2678
Seraumont wind farm;10;Wind;2009;48,4459;5,5925
Seuil Mont Laurent wind farm;10;Wind;2016;49,4629;4,4483
Soudan wind farm;10;Wind;2012;46,4099;-0,0389
Souilly Côte Du Gibet wind farm;10;Wind;2012;49,0262;5,3112
Soulanges Et Saint Amand II wind farm;10;Wind;2015;48,7906;4,5748
Soulangy wind farm;10;Wind;2009;48,9231;-0,1955
St Germain De Longue Chaume wind farm;10;Wind;2008;46,7136;-0,3627
Terres Froides wind farm;10;Wind;2014;46,2433;0,7777
Ty-Ru wind farm;10;Wind;2012;48,5798;-3,6887
Vallée Du Don wind farm;10;Wind;2015;47,5746;-1,6533
Villacerf wind farm;10;Wind;2015;48,4132;4,0264
Villiers Le Sec wind farm;10;Wind;2009;49,7536;3,4005
Voie Des Monts wind farm;10;Wind;2017;49,8003;3,275
Voie Du Moulin wind farm;10;Wind;2016;49,3981;1,2839
Welling wind farm;10;Wind;2008;49,1873;6,5164
Wœlfling wind farm;10;Wind;2012;49,0763;7,184
Alte Höhe wind farm;10;Wind;2000;50,5575;9,1358
Altentreptow West wind farm;10;Wind;2015;53,6968;13,2093
Altentreptow wind farm;10;Wind;2003;53,9311;12,3038
Bakum wind farm;10;Wind;2022;52,7513;8,1124
Barg-Schwensby wind farm;10;Wind;2015;54,7373;9,6707
Barver Süd wind farm;10;Wind;2002;52,5992;8,5667
Bernsdorf-Gersdorf wind farm;10;Wind;2019;50,7578;12,6761
Bickenbach wind farm;10;Wind;2005;50,1056;7,5342
Billertshausen wind farm;10;Wind;2002;50,7446;9,2127
Birkenfels wind farm;10;Wind;2015;49,3713;10,5425
Bmw Leipzig wind farm;10;Wind;2013;51,4039;12,4367
Bobritzsch-Schmohlhöhe wind farm;10;Wind;2012;50,9176;13,4138
Boxberg wind farm;10;Wind;2004;49,5117;9,5722
Brachttal-Spielberg wind farm;10;Wind;2017;50,3105;9,2491
Bremerhaven-Lehe-Thebushelmde wind farm;10;Wind;2008;53,5589;8,6237
Bröckel-Eicklingen wind farm;10;Wind;2009;52,5165;10,2329
Bückwitz II wind farm;10;Wind;2013;52,8583;12,481
Bullenberg wind farm;10;Wind;1998;52,1287;11,1517
Diedersbüll wind farm;10;Wind;2016;54,8378;8,7026
Dittelsheim-Heßloch wind farm;10;Wind;2013;49,7504;8,2738
Düren wind farm;10;Wind;2014;51,6223;6,9749
Eichenhof wind farm;10;Wind;2011;54,7252;9,1003
Elsterwerda wind farm;10;Wind;2006;51,4483;13,4819
Everswinkel wind farm;10;Wind;2013;51,8927;7,872
Fahlen Knüven Windpark;10;Wind;2016;52,4723;7,7987
Fahretoft wind farm;10;Wind;2019;54,7302;8,8586
Fasanerie wind farm;10;Wind;2010;50,3255;12,0311
Frauenhagen wind farm;10;Wind;2002;53,0783;14,0647
Friedland Stadt wind farm;10;Wind;2009;53,6808;13,5174
Gallun wind farm;10;Wind;2006;52,2478;13,5844
Ganzer wind farm;10;Wind;2006;52,8794;12,5895
Geeste (Emsland) wind farm;10;Wind;2005;52,6039;7,3428
Gehrden wind farm;10;Wind;2005;52,3241;9,5338
Gevensleben II wind farm;10;Wind;2004;52,0769;10,7923
Gnissau wind farm;10;Wind;2022;53,9879;10,4965
Göllnitz wind farm;10;Wind;2009;51,6471;13,8766
Grimmen-Grellenberg wind farm;10;Wind;2009;54,096;12,9873
Groß Chüden wind farm;10;Wind;2016;52,8449;11,2515
Groß Ippener wind farm;10;Wind;2004;53,0103;8,6239
Großenwiehe wind farm;10;Wind;2010;54,7208;9,2931
Halsdorf wind farm;10;Wind;2000;49,9361;6,365
Hammelwarder Moor wind farm;10;Wind;2018;53,3256;8,4806
Hangen-Weisheim wind farm;10;Wind;2013;49,7239;8,1746
Heidenau wind farm;10;Wind;2017;53,3349;9,6149
Helmstedt-Treue wind farm;10;Wind;2003;52,1894;11,004
Hengsterholz wind farm;10;Wind;2017;52,9759;8,5048
Herrenmoor wind farm;10;Wind;2017;53,3454;7,9294
Hilchenbach wind farm;10;Wind;2008;51,0191;8,1289
Hohenwalde wind farm;10;Wind;2006;52,2864;14,4199
Hollige wind farm;10;Wind;2012;52,8355;9,5419
Jennelt 2 wind farm;10;Wind;2007;53,4552;7,1238
Jerrishoe wind farm;10;Wind;2015;54,668;9,3468
Jeßnitz wind farm;10;Wind;2006;51,7121;12,2438
Kaarst wind farm;10;Wind;2006;51,2405;6,5869
Kajedeich wind farm;10;Wind;2003;53,7916;9,2489
Kattrepel wind farm;10;Wind;2015;53,9233;9,0769
Kladrum wind farm;10;Wind;1998;53,5426;11,799
Klanxbüll-Wisch wind farm;10;Wind;2011;54,8532;8,6847
Kleinbrembach wind farm;10;Wind;2006;51,11;11,2655
Kribbe wind farm;10;Wind;2005;53,2163;11,8134
Kronsberge wind farm;10;Wind;2008;53,0694;12,0396
Krumstedter Viert wind farm;10;Wind;2022;54,0892;9,2441
Kümper wind farm;10;Wind;2002;52,0273;7,4507
Lahstedt wind farm;10;Wind;2005;52,2419;10,2562
Lauterburg wind farm;10;Wind;2006;48,7725;10,0018
Leddin wind farm;10;Wind;2009;52,894;12,388
Lindern wind farm;10;Wind;2013;50,9758;6,203
Lövenich wind farm;10;Wind;2001;51,0152;6,3059
Martfeld wind farm;10;Wind;2010;52,8527;9,0743
Mertensdorf wind farm;10;Wind;2014;53,2539;12,1372
Mittelstenahe wind farm;10;Wind;2006;53,6321;9,0365
Möglenz wind farm;10;Wind;2005;51,4749;13,3344
Molauer Platte wind farm;10;Wind;2010;51,0739;11,7938
Möthlitz wind farm;10;Wind;2012;52,4631;12,3986
Neuenbrook wind farm;10;Wind;2017;53,85;9,5504
Neukrichen (UDI) wind farm;10;Wind;2000;51,0393;10,3233
Nielitz wind farm;10;Wind;2006;54,0265;13,1
Oberkochen wind farm;10;Wind;2015;48,7701;10,121
Ochtmersleben wind farm;10;Wind;2006;52,1523;11,4306
Odisheim wind farm;10;Wind;2017;53,6807;8,9464
Pirow wind farm;10;Wind;2006;53,2218;11,8865
Polch wind farm;10;Wind;2012;50,2994;7,2587
Premslin Erweiterung wind farm;10;Wind;2009;53,1393;11,8088
Prenzlau wind farm;10;Wind;2005;53,3422;13,8918
Pritzwalk wind farm;10;Wind;2014;53,1214;12,1269
Putlitz Süd wind farm;10;Wind;2004;53,1825;12,1246
Rascheid wind farm;10;Wind;2019;49,6792;6,9232
Ravenstein wind farm;10;Wind;2015;49,4166;9,4882
Reichenbach-Steegen wind farm;10;Wind;2003;49,5194;7,5356
Riethnordhausen wind farm;10;Wind;2007;51,411;11,2577
Salzhemmendorf wind farm;10;Wind;2006;52,0627;9,5228
Sarmersbach wind farm;10;Wind;2004;50,2549;6,8969
Scheibe-Trattendorf wind farm;10;Wind;2003;51,4484;14,369
Schenkendöbern 1 wind farm;10;Wind;2016;51,9642;14,6083
Schlangen wind farm;10;Wind;2022;51,8074;8,8822
Schneebergerhof wind farm;10;Wind;2019;49,6787;7,896
Schönenhagen wind farm;10;Wind;2004;53,1812;12,1214
Schülp Bei Nortorf wind farm;10;Wind;2015;54,147;9,866
Schweringhausen wind farm;10;Wind;2006;52,7247;8,6683
Schwienau wind farm;10;Wind;2009;52,9865;10,4148
Sehnde Lehrte wind farm;10;Wind;2005;52,3396;9,9824
Springe-Bennigsen wind farm;10;Wind;2009;52,2198;9,6728
Süderau wind farm;10;Wind;2017;53,8333;9,5761
Trendelburg wind farm;10;Wind;2020;51,546;9,335
Unzenberg wind farm;10;Wind;2011;49,98;7,4501
Vogelsberg (BOREAS) wind farm;10;Wind;2017;51,14;11,24
Wadern-Felsenberg wind farm;10;Wind;2017;49,6047;6,8869
Wattendorf wind farm;10;Wind;2017;50,0178;11,1413
Weischlitz Windpark;10;Wind;2018;50,4361;11,9232
Wettringen-Bilk wind farm;10;Wind;2003;52,2478;7,2677
Wind Farm Zultenberg;10;Wind;2014;50,0501;11,3201
Windhübel wind farm;10;Wind;2019;49,6735;7,9108
Wirfus wind farm;10;Wind;2006;50,2136;7,2076
Wolfen wind farm;10;Wind;2005;51,699;12,2447
Wp Alpenrod wind farm;10;Wind;2010;52,5007;7,9521
Wremen wind farm;10;Wind;2010;53,6424;8,5669
Wulfelade wind farm;10;Wind;2009;52,582;9,4876
Wulkow wind farm;10;Wind;2007;52,4005;14,4421
Wundersleben wind farm;10;Wind;2011;51,1667;11,0262
Zagelsdorf wind farm;10;Wind;2016;51,887;13,4858
Zerre wind farm;10;Wind;2002;51,5307;14,4049
Zschöpel wind farm;10;Wind;2011;50,8708;12,3917
Zwischenbergen wind farm;10;Wind;2006;53,363;7,7041
Achladion Wind Park;10;Wind;1999;35,1548;26,0566
Kalamos wind farm;10;Wind;2010;38,5192;23,0535
Kolona Daphne wind farm;10;Wind;2011;38,2682;20,4976
Kreon Wind Park;10;Wind;1999;35,1488;26,0376
Lophos Kylindrias wind farm;10;Wind;2009;41,1427;22,7912
Mytikas (Anaptyxiake Wind) wind farm;10;Wind;2010;38,589;23,1855
Palarrache Palioplatanos wind farm;10;Wind;2021;38,403;21,7326
Pefkias wind farm;10;Wind;2018;38,2661;22,9434
Plakokeratia Metatou wind farm;10;Wind;1998;35,1746;26,208
Rache Loutsa Rache Gione wind farm;10;Wind;2009;36,8945;22,9089
Servouni Vorina Litharia wind farm;10;Wind;2019;38,4251;23,9387
Tseberou wind farm;10;Wind;2012;37,3419;22,2575
Tsilikoka wind farm;10;Wind;2000;38,3371;24,0954
Belgaum (Giriraj) wind farm;10;Wind;2012;15,8423;74,5033
Chitradurga (India Power) wind farm;10;Wind;2006;14,2331;76,4039
Kasturi Rengapuram wind farm;10;Wind;2009;10,9094;78,3665
Nakhatrana Sn1 (GIPCL) wind farm;10;Wind;2016;23,0949;69,6126
Nakhatrana Sn5 (GIPCL) wind farm;10;Wind;2016;23,0949;69,6126
Ramagiri wind farm;10;Wind;1995;13,5996;78,5303
Rastha wind farm;10;Wind;2012;10,9094;78,3665
Vijayapura (Giriraj) I wind farm;10;Wind;2018;16,8331;75,6975
Corkermore wind farm;10;Wind;2011;54,7146;-8,3589
Dromadda Beg wind farm;10;Wind;2018;52,4496;-9,4788
Drumlough Hill wind farm;10;Wind;2010;55,2012;-7,4438
Meenwaun wind farm;10;Wind;2018;53,1681;-7,9242
Teevurcher wind farm;10;Wind;2017;53,8852;-6,9174
Apecchio wind farm;10;Wind;2016;43,5586;12,421
Ariano Irpino wind farm;10;Wind;2012;41,1527;15,0886
Barletta wind farm;10;Wind;2008;41,3215;16,2869
Bovino wind farm;10;Wind;2012;41,2499;15,3412
Campomaggiore wind farm;10;Wind;2007;40,5734;16,0735
Castelnuovo Di Conza wind farm;10;Wind;2008;40,8193;15,3169
Ciponte wind farm;10;Wind;2008;40,0325;18,1837
Lamacarvotta (Taranto) wind farm;10;Wind;2012;40,6738;16,8221
Lazio 1 wind farm;10;Wind;2018;42,4338;11,8023
Longano wind farm;10;Wind;2007;41,5071;14,2283
Sedini wind farm;10;Wind;2009;40,8511;8,78
Sella Di Conza wind farm;10;Wind;2007;40,8284;15,3375
Torre Di Ruggiero wind farm;10;Wind;2015;38,6525;16,3735
Vento Di Zeri wind farm;10;Wind;2013;44,3689;9,7874
Date wind farm;10;Wind;2011;42,412;140,9703
Kamisu wind farm;10;Wind;2008;35,8639;140,7424
Muregaoka wind farm;10;Wind;2005;31,6682;130,599
Mutsue wind farm;10;Wind;2014;40,9043;141,2649
Satomi wind farm;10;Wind;2006;36,8063;140,5399
Ol-Ndanyat wind farm;10;Wind;2023;-2,5462;36,7916
Kreivenai II wind farm;10;Wind;2010;55,1864;22,0717
Martina Cornelia wind farm;10;Wind;2011;51,7502;4,2283
Nijmegen-Betuwe wind farm;10;Wind;2016;51,8426;5,839
Katsina wind farm;10;Wind;2021;12,8361;7,6639
Karmoy Wind Turbine Demonstration Area;10;Wind;2020;59,1962;5,0959
Kvitsoy Wind Turbine Demonstration Area;10;Wind;2021;59,0899;5,406
Rennesoy Wind Turbine Demonstration Area;10;Wind;2010;59,0611;5,5932
Skurvenuten wind farm;10;Wind;2018;58,7489;5,9119
Tindafjellet wind farm;10;Wind;2018;58,7241;5,957
Drawsko wind farm;10;Wind;2015;53,447;15,741
Krotoszyn wind farm;10;Wind;2020;51,7302;17,3852
Lebcz wind farm;10;Wind;2008;54,7454;18,3567
Leki Dukielskie wind farm;10;Wind;2009;49,6124;21,6811
Miksztal wind farm;10;Wind;2014;52,2972;19,2568
Namysłów wind farm;10;Wind;2015;51,0762;17,6931
Nasielsk wind farm;10;Wind;2012;52,5572;20,7181
Sieradz wind farm;10;Wind;2011;51,5531;18,7013
Szerzawy wind farm;10;Wind;2015;50,9545;21,0248
Wicko (Szelf) wind farm;10;Wind;2013;54,6832;17,6401
Amaral wind farm;10;Wind;2004;39,0259;-9,0442
Cadafaz wind farm;10;Wind;2001;40,13;-8,05
Caldas wind farm;10;Wind;2005;39,2948;-9,0126
Costa Vicentina wind farm;10;Wind;2005;37,8536;-8,7293
Espinhaço Do Cão wind farm;10;Wind;2009;37,22;-8,7834
Fonte Da Mesa II wind farm;10;Wind;2010;41,0863;-7,87
Fonte Da Mesa wind farm;10;Wind;1996;41,0863;-7,87
Gevancas II wind farm;10;Wind;2013;41,4061;-7,7926
Lameira wind farm;10;Wind;2005;40,9617;-8,036
Madrinha wind farm;10;Wind;2006;37,3067;-8,6188
Pedras wind farm;10;Wind;2009;32,742;-17,0557
Pena Suar wind farm;10;Wind;1998;41,25;-7,89
São Paio wind farm;10;Wind;2005;41,9125;-8,7113
São Pedro wind farm;10;Wind;2005;40,9949;-8,0911
Seixinhos wind farm;10;Wind;2006;41,2155;-7,8909
Serra Da Capucha wind farm;10;Wind;2005;39,06;-9,26
Serra De Todo O Mundo wind farm;10;Wind;2004;39,2926;-9,0279
Vila Do Bispo wind farm;10;Wind;2003;37,0977;-8,8714
Grebanu wind farm;10;Wind;2011;45,4111;26,9323
Topliceni wind farm;10;Wind;2014;45,4215;26,9549
Gasiri wind farm;10;Wind;2013;33,3916;126,7379
Alisio (Eolia) wind farm;10;Wind;2018;28,3501;-14,1132
Cañada Del Río wind farm;10;Wind;1994;29,0011;-13,4869
Carrecastro wind farm;10;Wind;2019;41,5908;-4,9705
Cerro De La Oliva wind farm;10;Wind;2006;39,7512;-3,9061
Croa wind farm;10;Wind;2021;43,014;-9,051
El Abra wind farm;10;Wind;2006;43,3748;-3,0889
Flagship Demonstrator wind farm;10;Wind;2023;27,9929;-15,357
Fuenteblanca wind farm;10;Wind;2021;42,3448;-3,6812
Los Alburejos wind farm;10;Wind;2008;36,4594;-5,8716
Monte Tourado wind farm;10;Wind;2021;43,0715;-9,0086
Os Corvos wind farm;10;Wind;1999;43,69;-7,96
Pasada De Tejeda wind farm;10;Wind;2004;36,172;-5,7357
Sancho Abarca wind farm;10;Wind;2010;42,031;-1,315
Valdelanave wind farm;10;Wind;2012;41,5248;-5,9675
Narakkalliya wind farm;10;Wind;2012;8,0232;79,724
Nirmalpura wind farm;10;Wind;2012;7,9543;79,7411
Pawan Danavi wind farm;10;Wind;2012;8,0409;79,7196
Pollupalai wind farm;10;Wind;2012;9,5676;80,3422
Powergen Lank wind farm;10;Wind;2012;7,9813;79,7759
Seguwantivu wind farm;10;Wind;2010;8,0584;79,8034
